scan_utc,kind,event_slug,detail,edge,sum_ask,sum_bid,market_prob,model_prob,volume24hr,liquidity,note
2026-07-10T18:02:58Z,crypto_btc,bitcoin-above-62k-on-july-13-2026,"BTC > $62,000 luc 2026-07-13T16:00:00Z; spot $63,903, DVOL 37%; mua NO @0.110; RONG +0.066 sau phi",0.0655,,,0.895,0.8176,9293.915681999999,25367.7423,mo hinh bo qua skew - tu tham dinh truoc khi vao lenh
2026-07-10T18:02:58Z,crypto_eth,ethereum-above-1700-on-july-12-2026,"ETH > $1,700 luc 2026-07-12T16:00:00Z; spot $1,790, DVOL 50%; mua NO @0.016; RONG +0.064 sau phi",0.0639,,,0.9845,0.919,3769.9662339999995,21048.01857,mo hinh bo qua skew - tu tham dinh truoc khi vao lenh
2026-07-10T18:02:58Z,crypto_btc,bitcoin-above-66k-on-july-13-2026,"BTC > $66,000 luc 2026-07-13T16:00:00Z; spot $63,903, DVOL 37%; mua YES @0.090; RONG +0.062 sau phi",0.0624,,,0.085,0.1581,2701.121743,19671.0294,mo hinh bo qua skew - tu tham dinh truoc khi vao lenh
2026-07-10T18:02:58Z,crypto_btc,bitcoin-above-66k-on-july-14-2026,"BTC > $66,000 luc 2026-07-14T16:00:00Z; spot $63,903, DVOL 37%; mua YES @0.130; RONG +0.054 sau phi",0.0543,,,0.125,0.1923,577.078114,18933.2953,mo hinh bo qua skew - tu tham dinh truoc khi vao lenh
2026-07-10T18:02:58Z,negrisk_buy_all,clacton-by-election-nigel-farage-vote-20260708151424120,6 o | tong mua 0.918 + phi 0.029 = 0.947 | nhan 1.000 | RONG +0.053,0.0533,0.918,0.832,,,6935.001764999999,111867.13679,da tru phi taker; kiem tra do sau so lenh + gia con hieu luc
2026-07-10T18:02:58Z,crypto_eth,ethereum-above-1800-on-july-11-2026,"ETH > $1,800 luc 2026-07-11T16:00:00Z; spot $1,790, DVOL 50%; mua YES @0.340; RONG +0.047 sau phi",0.0472,,,0.335,0.4029,3909.72982,18838.2058,mo hinh bo qua skew - tu tham dinh truoc khi vao lenh
2026-07-10T18:02:58Z,negrisk_buy_all,where-will-the-next-next-round-of-us-iran-peace-talks-beptptpt-20260623023740663,19 o | tong mua 0.977 + phi 0.000 = 0.977 | nhan 1.000 | RONG +0.023,0.023,0.977,0.766,,,82523.88677000001,702219.35237,MIEN PHI (geopolitics); kiem tra do sau so lenh + gia con hieu luc
2026-07-10T18:02:58Z,negrisk_gan_dat,how-many-ships-transit-the-strait-of-hormuz-week-of-july-6-20260703173313706,5 o | mua 0.991 + phi 0.000 -> RONG +0.009 (thieu 0.001),0.009,0.991,0.822,,,28272.546347999996,93534.8245,CHUA DANG VAO - chi theo doi
2026-07-10T21:44:56Z,negrisk_buy_all,clacton-by-election-count-binface-vote-20260708142507718,5 o | tong mua 0.891 + phi 0.028 = 0.919 | nhan 1.000 | RONG +0.081,0.0814,0.891,0.773,,,11982.513874999999,103773.46766,da tru phi taker; kiem tra do sau so lenh + gia con hieu luc
2026-07-10T21:44:56Z,crypto_btc,bitcoin-above-62k-on-july-13-2026,"BTC > $62,000 luc 2026-07-13T16:00:00Z; spot $63,999, DVOL 36%; mua NO @0.080; RONG +0.077 sau phi",0.0773,,,0.925,0.8375,10497.252816999999,25657.3239,mo hinh bo qua skew - tu tham dinh truoc khi vao lenh
2026-07-10T21:44:56Z,crypto_btc,bitcoin-above-66k-on-july-13-2026,"BTC > $66,000 luc 2026-07-13T16:00:00Z; spot $63,999, DVOL 36%; mua YES @0.080; RONG +0.077 sau phi",0.0769,,,0.075,0.1621,2999.407456,20060.2521,mo hinh bo qua skew - tu tham dinh truoc khi vao lenh
2026-07-10T21:44:56Z,crypto_btc,bitcoin-above-62k-on-july-12-2026,"BTC > $62,000 luc 2026-07-12T16:00:00Z; spot $63,999, DVOL 36%; mua NO @0.030; RONG +0.075 sau phi",0.0755,,,0.9705,0.8925,23541.261186000003,27537.71889,mo hinh bo qua skew - tu tham dinh truoc khi vao lenh
2026-07-10T21:44:56Z,crypto_btc,bitcoin-above-62k-on-july-14-2026,"BTC > $62,000 luc 2026-07-14T16:00:00Z; spot $63,999, DVOL 36%; mua NO @0.120; RONG +0.074 sau phi",0.0735,,,0.885,0.7991,3802.2959,22127.8147,mo hinh bo qua skew - tu tham dinh truoc khi vao lenh
2026-07-10T21:44:56Z,crypto_btc,bitcoin-above-66k-on-july-12-2026,"BTC > $66,000 luc 2026-07-12T16:00:00Z; spot $63,999, DVOL 36%; mua YES @0.036; RONG +0.071 sau phi",0.0714,,,0.0235,0.1098,16460.996439000002,24422.57821,mo hinh bo qua skew - tu tham dinh truoc khi vao lenh
2026-07-10T21:44:56Z,negrisk_buy_all,clacton-by-election-nigel-farage-vote-20260708151424120,6 o | tong mua 0.918 + phi 0.029 = 0.947 | nhan 1.000 | RONG +0.053,0.0533,0.918,0.832,,,6915.791764999999,112433.28628,da tru phi taker; kiem tra do sau so lenh + gia con hieu luc
2026-07-10T21:44:56Z,crypto_btc,bitcoin-above-62k-on-july-15-2026,"BTC > $62,000 luc 2026-07-15T16:00:00Z; spot $63,999, DVOL 36%; mua NO @0.170; RONG +0.050 sau phi",0.0495,,,0.835,0.7706,612.542019,19523.6537,mo hinh bo qua skew - tu tham dinh truoc khi vao lenh
2026-07-10T21:44:56Z,crypto_btc,bitcoin-above-66k-on-july-14-2026,"BTC > $66,000 luc 2026-07-14T16:00:00Z; spot $63,999, DVOL 36%; mua YES @0.140; RONG +0.049 sau phi",0.0493,,,0.13,0.1977,749.688114,19148.3908,mo hinh bo qua skew - tu tham dinh truoc khi vao lenh
2026-07-10T21:44:56Z,crypto_eth,ethereum-above-1700-on-july-12-2026,"ETH > $1,700 luc 2026-07-12T16:00:00Z; spot $1,794, DVOL 50%; mua NO @0.012; RONG +0.048 sau phi",0.0484,,,0.9915,0.9388,7114.396234,21052.15227,mo hinh bo qua skew - tu tham dinh truoc khi vao lenh
2026-07-10T21:44:56Z,negrisk_gan_dat,bank-of-japan-decision-in-july-659,5 o | mua 1.007 + phi 0.001 -> RONG -0.008 (thieu 0.018),-0.0081,1.007,1.001,,,60281.917591,177710.43389,CHUA DANG VAO - chi theo doi
2026-07-10T21:44:56Z,negrisk_gan_dat,bank-of-russia-decision-in-july,3 o | mua 0.987 + phi 0.021 -> RONG -0.008 (thieu 0.018),-0.0084,0.987,0.953,,,6045.6827729999995,50414.85919,CHUA DANG VAO - chi theo doi
2026-07-11T06:32:39Z,crypto_btc,bitcoin-above-64k-on-july-11-2026,"BTC > $64,000 luc 2026-07-11T16:00:00Z; spot $64,204, DVOL 36%; mua NO @0.230; RONG +0.154 sau phi",0.1542,,,0.775,0.6035,79792.19908899999,27826.1935,mo hinh bo qua skew - tu tham dinh truoc khi vao lenh
2026-07-11T06:32:39Z,crypto_btc,bitcoin-above-66k-on-july-12-2026,"BTC > $66,000 luc 2026-07-12T16:00:00Z; spot $64,204, DVOL 36%; mua YES @0.025; RONG +0.079 sau phi",0.079,,,0.024,0.1057,18781.719491000003,27674.39563,mo hinh bo qua skew - tu tham dinh truoc khi vao lenh
2026-07-11T06:32:39Z,crypto_btc,bitcoin-above-66k-on-july-13-2026,"BTC > $66,000 luc 2026-07-13T16:00:00Z; spot $64,204, DVOL 36%; mua YES @0.090; RONG +0.073 sau phi",0.0728,,,0.085,0.1686,4477.647151,20462.1493,mo hinh bo qua skew - tu tham dinh truoc khi vao lenh
