entry_utc,event_slug,market_slug,city,target_date,lead_days,side,bucket,price,shares,stake,fee,p_model,market_prob,edge,n_members,potential_profit,status,payout,pnl,settle_utc
2026-07-18T08:11:54Z,highest-temperature-in-houston-on-july-18-2026,highest-temperature-in-houston-on-july-18-2026-98-99f,houston,2026-07-18,0,YES,98-99°F,0.039,256.41,10.0,0.4805,0.387,0.039,0.348,31,245.93,lost,0.0,-10.48,2026-07-19T09:00:17Z
2026-07-18T08:11:54Z,highest-temperature-in-los-angeles-on-july-18-2026,highest-temperature-in-los-angeles-on-july-18-2026-78-79f,los-angeles,2026-07-18,0,YES,78-79°F,0.3,33.33,10.0,0.35,0.645,0.3,0.345,31,22.98,won,33.33,22.98,2026-07-19T09:00:17Z
2026-07-18T08:11:54Z,highest-temperature-in-seattle-on-july-18-2026,highest-temperature-in-seattle-on-july-18-2026-74-75f,seattle,2026-07-18,0,NO,74-75°F,0.66,15.15,10.0,0.17,0.0,0.34,0.34,31,4.98,lost,0.0,-10.17,2026-07-19T10:00:24Z
2026-07-18T08:11:54Z,highest-temperature-in-panama-city-on-july-18-2026,highest-temperature-in-panama-city-on-july-18-2026-33c,panama-city,2026-07-18,0,NO,33°C,0.66,15.15,10.0,0.17,0.0,0.34,0.34,31,4.98,lost,0.0,-10.17,2026-07-19T09:00:17Z
2026-07-18T08:11:54Z,highest-temperature-in-tokyo-on-july-19-2026,highest-temperature-in-tokyo-on-july-19-2026-31c,tokyo,2026-07-19,1,NO,31°C,0.66,15.15,10.0,0.17,0.0,0.34,0.34,31,4.98,won,15.15,4.98,2026-07-20T07:00:15Z
2026-07-18T08:11:54Z,highest-temperature-in-san-francisco-on-july-19-2026,highest-temperature-in-san-francisco-on-july-19-2026-68-69f,san-francisco,2026-07-19,1,NO,68-69°F,0.66,15.15,10.0,0.17,0.0,0.34,0.34,31,4.98,won,15.15,4.98,2026-07-20T11:00:21Z
2026-07-18T08:11:54Z,highest-temperature-in-panama-city-on-july-19-2026,highest-temperature-in-panama-city-on-july-19-2026-32c,panama-city,2026-07-19,1,NO,32°C,0.63,15.87,10.0,0.185,0.032,0.37,0.338,31,5.68,lost,0.0,-10.19,2026-07-20T07:00:15Z
2026-07-18T08:11:54Z,highest-temperature-in-hong-kong-on-july-19-2026,highest-temperature-in-hong-kong-on-july-19-2026-30c,hong-kong,2026-07-19,1,NO,30°C,0.67,14.93,10.0,0.1651,0.0,0.33,0.33,31,4.76,lost,0.0,-10.17,2026-07-20T07:00:15Z
2026-07-18T08:11:54Z,highest-temperature-in-dallas-on-july-19-2026,highest-temperature-in-dallas-on-july-19-2026-102-103f,dallas,2026-07-19,1,YES,102-103°F,0.06,166.67,10.0,0.47,0.387,0.06,0.327,31,156.2,lost,0.0,-10.47,2026-07-20T07:00:15Z
2026-07-18T08:11:54Z,highest-temperature-in-karachi-on-july-20-2026,highest-temperature-in-karachi-on-july-20-2026-30c,karachi,2026-07-20,2,YES,30°C,0.062,161.29,10.0,0.469,0.387,0.062,0.325,31,150.82,lost,0.0,-10.47,2026-07-21T10:00:21Z
2026-07-18T08:11:54Z,highest-temperature-in-mexico-city-on-july-18-2026,highest-temperature-in-mexico-city-on-july-18-2026-25c,mexico-city,2026-07-18,0,NO,25°C,0.68,14.71,10.0,0.16,0.0,0.32,0.32,31,4.55,lost,0.0,-10.16,2026-07-19T09:00:17Z
2026-07-18T08:11:54Z,highest-temperature-in-manila-on-july-19-2026,highest-temperature-in-manila-on-july-19-2026-33c,manila,2026-07-19,1,NO,33°C,0.68,14.71,10.0,0.16,0.0,0.32,0.32,31,4.55,lost,0.0,-10.16,2026-07-20T07:00:15Z
